"company_name","total_job_postings","remote_job_postings","postings_with_salary","avg_yearly_salary"
"Emprego","1121","0","0",""
"Robert Half","1047","90","108","89111"
"Insight Global","892","98","96","92801"
"Citi","875","2","90","121509"
"Dice","604","260","1","107500"
"UnitedHealth Group","592","34","7","103464"
"Confidenziale","549","2","0",""
"Get It Recruit - Information Technology","510","488","139","87489"
"Michael Page","468","9","5","97000"
"Randstad","462","6","3","92500"
"Corporate","420","5","2","92550"
"SynergisticIT","410","7","12","88792"
"Accenture","371","11","1","115000"
"Centene Corporation","365","9","10","106450"
"Booz Allen Hamilton","339","5","37","107776"
"Tesla","333","0","0",""
"Peroptyx","331","179","0",""
"Hays","329","19","3","102000"
"S&P Global","320","6","0",""
"Confidential","313","28","3","90833"
