"posting_month","total_job_postings","remote_job_postings","avg_yearly_salary"
"2022-12-01","485","17","77693"
"2023-01-01","23697","1597","92966"
"2023-02-01","16479","1017","94979"
"2023-03-01","16342","1052","93524"
"2023-04-01","15499","910","94807"
"2023-05-01","13457","894","94298"
"2023-06-01","15932","1070","97636"
"2023-07-01","16150","1053","98138"
"2023-08-01","18602","854","98105"
"2023-09-01","14997","1170","92074"
"2023-10-01","16260","1442","90216"
"2023-11-01","15133","1177","86854"
"2023-12-01","13560","1078","86767"
