"job_location","total_job_postings","postings_with_salary","avg_yearly_salary"
"Singapore","6578","27","95462"
"Paris, France","3804","26","76941"
"New York, NY","3038","327","101079"
"Atlanta, GA","2734","117","93701"
"Madrid, Spain","2480","10","85388"
"Chicago, IL","2360","132","96061"
"Hong Kong","2134","7","77548"
"India","2054","14","79380"
"Lisbon, Portugal","2008","13","106529"
"United Kingdom","1993","21","80494"
"Austin, TX","1934","71","98851"
"Dallas, TX","1898","81","92452"
"Dubai - United Arab Emirates","1670","5","91875"
"Dublin, Ireland","1667","14","105065"
"France","1632","2","82095"
"Washington, DC","1602","109","102779"
"Charlotte, NC","1437","59","95192"
"Tampa, FL","1429","92","97640"
"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia","1427","6","84346"
"Italy","1399","1","53014"
