"job_via","total_job_postings","remote_job_postings","remote_percentage","postings_with_salary"
"via LinkedIn","41852","7026","16.79","869"
"via BeBee","25888","0","0.00","180"
"via Trabajo.org","15568","0","0.00","0"
"via Indeed","12961","1339","10.33","1144"
"via Recruit.net","5965","419","7.02","28"
"via ZipRecruiter","5021","796","15.85","356"
"via Snagajob","3418","293","8.57","0"
"via Jobs Trabajo.org","2486","0","0.00","0"
"via BeBee Singapore","2239","0","0.00","0"
"via Jobijoba","1892","0","0.00","0"
"via Trabajo.org - Vacantes De Empleo, Trabajo","1869","0","0.00","0"
"via SimplyHired","1643","0","0.00","0"
"via Emplois Trabajo.org","1631","0","0.00","0"
"via Jobrapido.com","1590","0","0.00","0"
"via BeBee Portugal","1517","0","0.00","0"
"via Adzuna","1469","45","3.06","47"
"via Dice","1395","117","8.39","184"
"via BeBee Belgique","1370","0","0.00","0"
"via Sercanto","1238","0","0.00","0"
"via Ai-Jobs.net","1221","0","0.00","1106"
